club,short_code,filename,main_color,secondary_color,accent_color
Haarlem,HAA,haarlem_nl.png,#1E73BE,#D71920,#FFFFFF
FC Amsterdam,FCA,fc_amsterdam_nl.png,#FFFFFF,#D71920,#111819
Veendam,VEE,veendam_nl.png,#FFD21E,#111819,#FFFFFF
RBC,RBC,rbc_nl.png,#F58220,#FFFFFF,#111819
SVV,SVV,svv_nl.png,#D71920,#168A3A,#FFFFFF
SC Enschede,SCE,sc_enschede_nl.png,#111819,#FFFFFF,#BFC7CA
Elinkwijk,ELK,elinkwijk_nl.png,#FFFFFF,#1E73BE,#111819
De Volewijckers,DVO,de_volewijckers_nl.png,#FFFFFF,#168A3A,#111819
Wageningen,WAG,wageningen_nl.png,#168A3A,#FFFFFF,#111819
FC Wageningen,FCW,fc_wageningen_nl.png,#168A3A,#FFFFFF,#111819
D.F.C.,DFC,d_f_c_nl.png,#D71920,#FFFFFF,#111819
HVC,HVC,hvc_nl.png,#D71920,#FFFFFF,#111819
AGOVV Apeldoorn,AGO,agovv_apeldoorn_nl.png,#1E73BE,#FFFFFF,#111819
NOAD,NOA,noad_nl.png,#FFD21E,#1E73BE,#111819
DHC,DHC,dhc_nl.png,#111819,#168A3A,#FFFFFF
SHS Scheveningen Holland,SHH,shs_scheveningen_holland_nl.png,#FFFFFF,#168A3A,#111819
SHS,SHS,shs_nl.png,#FFFFFF,#168A3A,#111819
Limburgia,LIM,limburgia_nl.png,#1E73BE,#FFFFFF,#111819
Stormvogels,STO,stormvogels_nl.png,#1E73BE,#FFFFFF,#111819
Velox,VEL,velox_nl.png,#FFD21E,#111819,#FFFFFF
Enschedese Boys,ENB,enschedese_boys_nl.png,#168A3A,#FFFFFF,#111819
RCH,RCH,rch_nl.png,#1E73BE,#111819,#FFFFFF
Hermes DVS,HDV,hermes_dvs_nl.png,#76BDEB,#FFFFFF,#111819
Leeuwarden,LEE,leeuwarden_nl.png,#D71920,#FFFFFF,#111819
KFC,KFC,kfc_nl.png,#D71920,#1E73BE,#FFFFFF
VSV,VSV,vsv_nl.png,#D71920,#FFFFFF,#111819
Holland Sport,HSP,holland_sport_nl.png,#FFFFFF,#168A3A,#111819
Xerxes DZB,XDZ,xerxes_dzb_nl.png,#1E73BE,#FFFFFF,#111819
BVV,BVV,bvv_nl.png,#D71920,#111819,#FFFFFF
ZFC,ZFC,zfc_nl.png,#D71920,#FFFFFF,#111819
FC Vlaardingen,VLA,fc_vlaardingen_nl.png,#FFD21E,#1E73BE,#D71920
SC Amersfoort,SCA,sc_amersfoort_nl.png,#D71920,#FFFFFF,#111819
Schiedam,SCH,schiedam_nl.png,#D71920,#FFFFFF,#111819
Xerxes,XER,xerxes_nl.png,#1E73BE,#FFFFFF,#111819
Rigtersbleek,RIG,rigtersbleek_nl.png,#D71920,#FFFFFF,#111819
't Gooi,TGO,t_gooi_nl.png,#111819,#FFD21E,#FFFFFF
Be Quick,BEQ,be_quick_nl.png,#FFFFFF,#111819,#BFC7CA
EDO,EDO,edo_nl.png,#111819,#D71920,#FFFFFF
EBOH,EBO,eboh_nl.png,#D71920,#111819,#FFFFFF
FC Zaanstreek,FCZ,fc_zaanstreek_nl.png,#D71920,#FFFFFF,#1E73BE
Jong FC Twente,JTW,jong_fc_twente_nl.png,#D71920,#FFFFFF,#111819
DWS,DWS,dws_nl.png,#1E73BE,#111819,#FFFFFF
Hilversum,HIL,hilversum_nl.png,#FFFFFF,#168A3A,#111819
Emma,EMM,emma_nl.png,#D71920,#1E73BE,#FFFFFF
Wilhelmina,WIL,wilhelmina_nl.png,#FFD21E,#111819,#FFFFFF
SC Drente,DRN,sc_drente_nl.png,#FFFFFF,#1E73BE,#111819
VC Vlissingen,VLI,vc_vlissingen_nl.png,#D71920,#FFFFFF,#111819
VCV Zeeland,VCZ,vcv_zeeland_nl.png,#D71920,#FFFFFF,#111819
